nonterminal,first,follow
START,struct impl func &epsilon, 
ARRAYSIZE1,intnum closesqbr,semi opensqbr closepar comma
EXPR1,eq noteq lt gt leq geq &epsilon,comma closepar semi
FACTOR2,dot &epsilon,mult div and closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
FACTOR1,openpar dot opensqbr &epsilon,mult div and closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
FUNCBODY,opencubr,struct impl func closecubr
FUNCHEAD,func,semi opencubr
FPARAMS,id &epsilon,closepar
FUNCDECL,func,closecubr public private
PROG,struct impl func &epsilon, 
ARITHEXPR,id intnum floatnum openpar not plus minus,closesqbr eq noteq lt gt leq geq comma closepar semi
RELOP,eq noteq lt gt leq geq,id intnum floatnum openpar not plus minus
APARAMSTAIL,comma,comma closepar
REPTAPARAMS1,comma &epsilon,closepar
REPTFPARAMS3,opensqbr &epsilon,closepar comma
FPARAMSTAIL,comma,comma closepar
REPTFPARAMS4,comma &epsilon,closepar
REPTFPARAMSTAIL4,opensqbr &epsilon,comma closepar
REPTFUNCBODY1,let id if while read write return &epsilon,closecubr
INDICE,opensqbr,mult div and opensqbr assign dot closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
REPTIMPLDEF3,func &epsilon,closecubr
REPTOPTSTRUCTDECL22,comma &epsilon,opencubr
REPTPROG0,struct impl func &epsilon, 
MEMBERDECL,let func,closecubr public private
ARRAYSIZE,opensqbr,semi opensqbr closepar comma
RETURNTYPE,void integer float id,semi opencubr
ADDOP,plus minus or,id intnum floatnum openpar not plus minus
RIGHTRECARITHEXPR,plus minus or &epsilon,closesqbr eq noteq lt gt leq geq comma closepar semi
MULTOP,mult div and,id intnum floatnum openpar not plus minus
SIGN,plus minus,id intnum floatnum openpar not plus minus
REPTSTATBLOCK1,id if while read write return &epsilon,closecubr
RELEXPR,id intnum floatnum openpar not plus minus,closepar
STATBLOCK,opencubr id if while read write return &epsilon,else semi
STATEMENT2,dot semi,else semi let id if while read write return closecubr
STATEMENT3,dot assign,else semi let id if while read write return closecubr
STATEMENT1,openpar dot opensqbr assign,else semi let id if while read write return closecubr
ASSIGNOP,assign,id intnum floatnum openpar not plus minus
EXPR,id intnum floatnum openpar not plus minus,comma closepar semi
OPTSTRUCTDECL2,inherits &epsilon,opencubr
REPTSTRUCTDECL4,public private &epsilon,closecubr
STRUCTORIMPLORFUNC,struct impl func,struct impl func
STRUCTDECL,struct,struct impl func
IMPLDEF,impl,struct impl func
FUNCDEF,func,struct impl func closecubr
TERM,id intnum floatnum openpar not plus minus,closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
FACTOR,id intnum floatnum openpar not plus minus,mult div and closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
RIGHTRECTERM,mult div and &epsilon,closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
TYPE,integer float id,closepar opencubr comma opensqbr semi
REPTVARDECL4,opensqbr &epsilon,semi
VARDECLORSTAT,let id if while read write return,let id if while read write return closecubr
VARDECL,let,public private let id if while read write return closecubr
STATEMENT,id if while read write return,else semi let id if while read write return closecubr
VARIABLE,id,closepar
REPTIDNEST1,opensqbr &epsilon,mult div and assign dot closesqbr eq noteq lt gt leq geq plus minus or comma closepar semi
APARAMS,id intnum floatnum openpar not plus minus &epsilon,closepar
VARIABLE2,dot,closepar
VARIABLE3,dot &epsilon,closepar
VARIABLE1,openpar dot opensqbr &epsilon,closepar
VISIBILITY,public private,let func
