,$,private,public,id,dot,closepar,openpar,semi,colon,let,float,integer,closecubr,opencubr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,noteq,eq,inherits,and,div,mult,closesqbr,opensqbr,impl,arrow,func,not,floatnum,intnum,assign,or
START,START -> PROG, , , , , , , , , , , , , ,START -> PROG, , , , , , , , , , , , , , , , , , , , , , , ,START -> PROG, ,START -> PROG, , , , , 
ADDOP, , , , , , , , , , , , , , , , , , , , , , ,ADDOP -> minus,ADDOP -> plus, , , , , , , , , , , , , , , , , , , , , ,ADDOP -> or
APARAMS, , , ,APARAMS -> EXPR REPTAPARAMS1, ,APARAMS -> &epsilon,APARAMS -> EXPR REPTAPARAMS1, , , , , , , , , , , , , , , ,APARAMS -> EXPR REPTAPARAMS1,APARAMS -> EXPR REPTAPARAMS1, , , , , , , , , , , , , , , , , ,APARAMS -> EXPR REPTAPARAMS1,APARAMS -> EXPR REPTAPARAMS1,APARAMS -> EXPR REPTAPARAMS1, , 
APARAMSTAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,APARAMSTAIL -> comma EXPR, , , , , , , , , , , , , , , , , , , , 
ARITHEXPR, , , ,ARITHEXPR -> TERM RIGHTRECARITHEXPR, , ,ARITHEXPR -> TERM RIGHTRECARITHEXPR, , , , , , , , , , , , , , , ,ARITHEXPR -> TERM RIGHTRECARITHEXPR,ARITHEXPR -> TERM RIGHTRECARITHEXPR, , , , , , , , , , , , , , , , , ,ARITHEXPR -> TERM RIGHTRECARITHEXPR,ARITHEXPR -> TERM RIGHTRECARITHEXPR,ARITHEXPR -> TERM RIGHTRECARITHEXPR, , 
ARRAYSIZE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE -> opensqbr ARRAYSIZE1, , , , , , , , 
ARRAYSIZE1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE1 -> closesqbr, , , , , , ,ARRAYSIZE1 -> intnum _leaf_ closesqbr, , 
ASSIGNOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ASSIGNOP -> assign, 
EXPR, , , ,EXPR -> ARITHEXPR EXPR1, , ,EXPR -> ARITHEXPR EXPR1, , , , , , , , , , , , , , , ,EXPR -> ARITHEXPR EXPR1,EXPR -> ARITHEXPR EXPR1, , , , , , , , , , , , , , , , , ,EXPR -> ARITHEXPR EXPR1,EXPR -> ARITHEXPR EXPR1,EXPR -> ARITHEXPR EXPR1, , 
EXPR1, , , , , ,EXPR1 -> &epsilon, ,EXPR1 -> &epsilon, , , , , , , , , , , , , , , , , ,EXPR1 -> &epsilon,EXPR1 -> RELOP ARITHEXPR,EXPR1 -> RELOP ARITHEXPR,EXPR1 -> RELOP ARITHEXPR,EXPR1 -> RELOP ARITHEXPR,EXPR1 -> RELOP ARITHEXPR,EXPR1 -> RELOP ARITHEXPR, , , , , , , , , , , , , , 
FACTOR, , , ,FACTOR -> id FACTOR1, , ,FACTOR -> openpar ARITHEXPR closepar, , , , , , , , , , , , , , , ,FACTOR -> SIGN FACTOR,FACTOR -> SIGN FACTOR, , , , , , , , , , , , , , , , , ,FACTOR -> not FACTOR,FACTOR -> floatnum,FACTOR -> intnum, , 
FACTOR1, , , , ,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> openpar APARAMS closepar FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2, , , , , , , , , , , , , , ,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2, ,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2, ,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2,FACTOR1 -> REPTIDNEST1 FACTOR2, , , , , , , ,FACTOR1 -> REPTIDNEST1 FACTOR2
FACTOR2, , , , ,FACTOR2 -> dot id FACTOR1,FACTOR2 -> &epsilon, ,FACTOR2 -> &epsilon, , , , , , , , , , , , , , ,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon, ,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon, ,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon,FACTOR2 -> &epsilon, , , , , , , , ,FACTOR2 -> &epsilon
FPARAMS, , , ,FPARAMS -> id _leaf_ colon TYPE _leaf_ _epsilon_ REPTFPARAMS3 _dimlist_ _param_ REPTFPARAMS4, ,FPARAMS -> &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FPARAMSTAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,FPARAMSTAIL -> comma id _leaf_ colon TYPE REPTFPARAMSTAIL4, , , , , , , , , , , , , , , , , , , , 
FUNCBODY, , , , , , , , , , , , , ,FUNCBODY -> opencubr REPTFUNCBODY1 closecubr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
FUNCDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDECL -> FUNCHEAD _funchead_ semi, , , , , 
FUNCDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCDEF -> FUNCHEAD FUNCBODY, , , , , 
FUNCHEAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FUNCHEAD -> func id _leaf_ openpar _epsilon_ FPARAMS _paramslist_ closepar arrow RETURNTYPE _leaf_, , , , , 
IMPLDEF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,IMPLDEF -> impl id _leaf_ opencubr _epsilon_ REPTIMPLDEF3 _funclist_ _impl_ closecubr, , , , , , , 
INDICE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,INDICE -> opensqbr ARITHEXPR closesqbr, , , , , , , , 
MEMBERDECL, , , , , , , , , ,MEMBERDECL -> VARDECL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MEMBERDECL -> FUNCDECL, , , , , 
MULTOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MULTOP -> and,MULTOP -> div,MULTOP -> mult, , , , , , , , , , 
OPTSTRUCTDECL2, , , , , , , , , , , , , ,OPTSTRUCTDECL2 -> &epsilon, , , , , , , , , , , , , , , , , , ,OPTSTRUCTDECL2 -> inherits id _leaf_ REPTOPTSTRUCTDECL22, , , , , , , , , , , , , 
PROG,PROG -> REPTPROG0, , , , , , , , , , , , , ,PROG -> REPTPROG0, , , , , , , , , , , , , , , , , , , , , , , ,PROG -> REPTPROG0, ,PROG -> REPTPROG0, , , , , 
RELEXPR, , , ,RELEXPR -> ARITHEXPR RELOP ARITHEXPR, , ,RELEXPR -> ARITHEXPR RELOP ARITHEXPR, , , , , , , , , , , , , , , ,RELEXPR -> ARITHEXPR RELOP ARITHEXPR,RELEXPR -> ARITHEXPR RELOP ARITHEXPR, , , , , , , , , , , , , , , , , ,RELEXPR -> ARITHEXPR RELOP ARITHEXPR,RELEXPR -> ARITHEXPR RELOP ARITHEXPR,RELEXPR -> ARITHEXPR RELOP ARITHEXPR, , 
RELOP, , , , , , , , , , , , , , , , , , , , , , , , , , ,RELOP -> geq,RELOP -> leq,RELOP -> gt,RELOP -> lt,RELOP -> noteq,RELOP -> eq, , , , , , , , , , , , , , 
