,$,private,public,id,dot,closepar,openpar,semi,colon,let,float,integer,closecubr,opencubr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,noteq,eq,inherits,and,div,mult,closesqbr,opensqbr,impl,arrow,func,not,floatnum,intnum,assign,or
START,START -> PROG  _prog_, , , , , , , , , , , , , ,START -> PROG  _prog_, , , , , , , , , , , , , , , , , , , , , , , ,START -> PROG  _prog_, ,START -> PROG  _prog_, , , , , 
ADDOP, , , , , , , , , , , , , , , , , , , , , , ,ADDOP -> minus _minusop_,ADDOP -> plus _plusop_, , , , , , , , , , , , , , , , , , , , , ,ADDOP -> or _orop_
APARAMS, , , ,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1, ,APARAMS -> &epsilon,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1, , , , , , , , , , , , , , , ,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1, , , , , , , , , , , , , , , , , ,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1,APARAMS -> _epsilon_ EXPR _expr_ REPTAPARAMS1, , 
APARAMSTAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,APARAMSTAIL -> comma _epsilon_ EXPR _expr_, , , , , , , , , , , , , , , , , , , , 
ARITHEXPR, , , ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  , , ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  , , , , , , , , , , , , , , , ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  , , , , , , , , , , , , , , , , , ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  ,ARITHEXPR -> _epsilon_ _epsilon_ TERM _term_ _arithexpr_ RIGHTRECARITHEXPR  , , 
ARRAYSIZE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE -> opensqbr ARRAYSIZE1, , , , , , , , 
ARRAYSIZE1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE1 -> _emptyarray_ closesqbr, , , , , , ,ARRAYSIZE1 -> intnum _leaf_ closesqbr, , 
ASSIGNOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ASSIGNOP -> assign _assign_, 
EXPR, , , ,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1, , ,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1, , , , , , , , , , , , , , , ,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1, , , , , , , , , , , , , , , , , ,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1,EXPR -> _epsilon_ ARITHEXPR _arithexpr_ EXPR1, , 
EXPR1, , , , , ,EXPR1 -> &epsilon, ,EXPR1 -> &epsilon, , , , , , , , , , , , , , , , , ,EXPR1 -> &epsilon,EXPR1 -> RELOP ARITHEXPR _relexpr_,EXPR1 -> RELOP ARITHEXPR _relexpr_,EXPR1 -> RELOP ARITHEXPR _relexpr_,EXPR1 -> RELOP ARITHEXPR _relexpr_,EXPR1 -> RELOP ARITHEXPR _relexpr_,EXPR1 -> RELOP ARITHEXPR _relexpr_, , , , , , , , , , , , , , 
